world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
158,University of Bonn,Germany,0.0307,0.1557,0.4382,0.2949,0.1522,0.1071,0.1788,0.1491,0.3908,0.0807,2015
159,Wake Forest University,USA,0.3158,0.7213,0.1449,1.0,0.2482,0.2455,0.1566,0.1241,0.1414,0.0804,2015
160,University of Basel,Switzerland,0.0175,0.224,0.6396,0.2719,0.1662,0.1,0.1665,0.1291,0.5575,0.0797,2015
161,University of Leeds,United Kingdom,0.0526,0.1667,0.2756,1.0,0.1321,0.1414,0.1665,0.1491,0.3034,0.0784,2015
162,University of Hamburg,Germany,0.0351,0.8552,0.2385,0.6175,0.1461,0.1263,0.1233,0.1261,0.777,0.0766,2015
163,Université libre de Bruxelles,Belgium,0.0088,0.4699,0.1926,0.3134,0.2352,0.2152,0.1233,0.1692,0.169,0.0761,2015
164,Indiana University-Purdue University Indianapolis,USA,0.3202,1.0,0.8675,1.0,0.1862,0.1909,0.1529,0.1211,0.0897,0.0761,2015
165,Pohang University of Science and Technology,South Korea,0.0175,1.0,1.0,1.0,0.2843,0.3576,0.2602,0.2803,0.0264,0.0754,2015
166,Oregon Health & Science University,USA,0.3246,1.0,1.0,0.5853,0.1832,0.1152,0.1529,0.1041,0.1644,0.0752,2015
167,University of Calgary,Canada,0.0307,1.0,0.2155,1.0,0.1441,0.1808,0.1233,0.1261,0.8931,0.0752,2015
168,Stockholm University,Sweden,0.0175,0.3497,0.1378,0.8571,0.2012,0.0889,0.1073,0.1782,0.9632,0.0752,2015
169,University of Padua,Italy,0.0044,0.765,1.0,1.0,0.0981,0.1051,0.2232,0.1181,0.4023,0.0741,2015
170,University of Hong Kong,Hong Kong,0.0,0.7814,0.2244,1.0,0.1381,0.2051,0.1566,0.1461,0.2345,0.0738,2015
171,Yeshiva University,USA,0.3289,0.5437,1.0,1.0,0.1942,0.0909,0.1973,0.1081,0.146,0.0731,2015
172,University of Milan,Italy,0.0088,0.4399,0.7774,0.8341,0.1171,0.1899,0.2602,0.1051,0.5023,0.0723,2015
173,University of Sheffield,United Kingdom,0.057,0.3852,0.3675,0.8986,0.1281,0.1374,0.1665,0.1461,0.2046,0.0723,2015
174,Technical University of Denmark,Denmark,0.0088,0.9563,0.8993,0.9263,0.2192,0.2313,0.1973,0.2152,0.0517,0.0722,2015
175,"University of Maryland, Baltimore",USA,0.3333,1.0,1.0,1.0,0.1241,0.1121,0.2417,0.1151,0.2057,0.072,2015
176,Goethe University Frankfurt,Germany,0.0395,0.3005,0.3852,0.4055,0.1782,0.1556,0.2602,0.1231,0.3759,0.0713,2015
177,University of Göttingen,Germany,0.0439,0.1148,0.3004,0.8065,0.1732,0.1465,0.3243,0.1832,0.3425,0.0707,2015
178,Hokkaido University,Japan,0.0395,0.7596,0.4876,0.6175,0.1471,0.1737,0.3527,0.2503,0.0598,0.0706,2015
179,Australian National University,Australia,0.0219,0.5328,0.6678,0.235,0.1291,0.099,0.2417,0.1872,0.4759,0.0706,2015
180,Shanghai Jiao Tong University,China,0.0088,0.9126,0.2509,1.0,0.0801,0.2687,0.2602,0.2082,0.2264,0.0704,2015
181,University of New Mexico,USA,0.3377,1.0,1.0,1.0,0.2222,0.1707,0.0999,0.1461,0.1138,0.0702,2015
182,University of Strasbourg,France,0.0263,0.1913,1.0,0.2212,0.1902,0.1455,0.3243,0.2182,0.308,0.0691,2015
183,University of Massachusetts Medical School,USA,0.3421,1.0,1.0,0.3641,0.2953,0.0758,0.2873,0.1211,0.1632,0.0684,2015
184,University of Houston,USA,0.3465,1.0,0.0724,1.0,0.3093,0.2586,0.6289,0.3483,0.1782,0.0681,2015
185,"Trinity College, Dublin",Ireland,0.0,0.9208,0.136,0.9171,0.2883,0.2343,0.1406,0.2032,0.1747,0.0663,2015
